Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""006112527X""","=""9780061125270""",4,4.09,HarperCollins,Hardcover,248,2006,1952,,2017/09/11,,,read,,,,1,,,0,,,,,
32831,"The Mysterious Island (Extraordinary Voyages, #12)",Jules Verne,"Verne, Jules","Caleb Carr, Jordan Stump","=""0812972120""","=""9780812972122""",5,4.10,Modern Library,Paperback,723,2004,1865,,2017/09/11,,,read,,,,1,,,0,,,,,
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,"Martin, George R.R.",,"=""055358202X""","=""9780553582024""",4,4.13,Bantam Books,Mass Market Paperback,1061,2011,2005,,2017/09/11,,,read,,,,1,,,0,,,,,
17333227,"The Gods of Guilt (Mickey Haller, #5)",Michael Connelly,"Connelly, Michael",,"=""0316069515""","=""9780316069519""",4,4.13,"Little, Brown and Company",Hardcover,389,2013,2013,,2017/10/12,,,read,,,,1,,,0,,,,,
43930,Gone for Good,Harlan Coben,"Coben, Harlan",,"=""0440236738""","=""9780440236733""",3,4.10,Dell Publishing Company,Paperback,432,2003,2002,,2017/09/20,,,read,,,,1,,,0,,,,,
7936809,"The Reversal (Mickey Haller, #3)",Michael Connelly,"Connelly, Michael",,"=""0316069485""","=""9780316069489""",5,4.15,"Little, Brown and Company",Hardcover,391,2010,2010,,2017/09/11,,,read,,,,1,,,0,,,,,
24280,Les Misérables,Victor Hugo,"Hugo, Victor","Lee Fahnestock, Norman MacAfee","=""""","=""""",4,4.16,Signet Classics,Mass Market Paperback,1463,1987,1862,,2017/09/11,,,read,,,,1,,,0,,,,,
9681098,"The Fifth Witness (Mickey Haller, #4)",Michael Connelly,"Connelly, Michael",,"=""0316069353""","=""9780316069359""",5,4.19,"Little, Brown and Company",Hardcover,421,2011,2011,,2017/09/11,,,read,,,,1,,,0,,,,,
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",4,4.21,HarperCollins Publishers,Paperback,206,2005,1950,,2017/09/11,,,read,,,,1,,,0,,,,,
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",3,4.25,St. Martin's Press,Paperback,264,2004,1939,,2017/09/11,,,read,,,,1,,,0,,,,,
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,"Martin, George R.R.",,"=""""","=""""",4,4.32,Bantam,Kindle Edition,1125,2011,2011,,2017/09/11,,,read,,,,1,,,0,,,,,
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",3,4.29,Scholastic Press,Hardcover,391,2009,2009,,2017/09/11,,,read,,,,1,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439064864""","=""9780439064866""",4,4.41,Arthur A. Levine Books / Scholastic Inc.,Hardcover,341,1999,1998,,2017/09/11,,,read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.47,Scholastic Inc,Hardcover,322,1997,1997,,2017/09/11,,,read,,,,1,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439358078""","=""9780439358071""",4,4.49,Scholastic Inc.,Paperback,870,2004,2003,,2017/09/11,,,read,,,,1,,,0,,,,,
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,4.56,Scholastic Inc.,Mass Market Paperback,435,2004,1999,,2017/09/11,,,read,,,,1,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",4,4.55,Scholastic,Paperback,734,2002,2000,,2017/09/11,,,read,,,,1,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439785960""","=""9780439785969""",3,4.56,Scholastic Inc.,Paperback,652,2006,2005,,2017/09/11,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""0545010225""","=""9780545010221""",3,4.61,Arthur A. Levine Books / Scholastic Inc.,Hardcover,759,2007,2007,,2017/09/11,,,read,,,,1,,,0,,,,,
26242071,Lontano,Jean-Christophe Grangé,"Grangé, Jean-Christophe",,"=""""","=""""",5,4.06,Albin Michel,Kindle Edition,800,2015,2015,2018/01/18,2017/11/20,,,read,,,,1,,,0,,,,,
1638232,Le Dernier jour d'un condamné,Victor Hugo,"Hugo, Victor",,"=""2290334758""","=""9782290334751""",0,4.00,J'ai Lu,Mass Market Paperback,97,2003,1829,,2018/01/17,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
789727,How Real Is Real?,Paul Watzlawick,"Watzlawick, Paul",,"=""0394722566""","=""9780394722566""",0,4.25,Vintage,Paperback,266,1977,1976,,2018/01/17,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
89200,"Pragmatics of Human Communication: A Study of Interactional Patterns, Pathologies and Paradoxes",Paul Watzlawick,"Watzlawick, Paul","Don D. Jackson, William J. Lederer, Karl A. Menninger","=""0393010090""","=""9780393010091""",0,4.24,W. W. Norton  Company,Hardcover,296,1967,1967,,2018/01/17,to-read,to-read (#40),to-read,,,,0,,,0,,,,,
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",5,4.23,Ecco,Hardcover,400,2015,2015,,2017/09/11,,,read,,,,1,,,0,,,,,
25080953,The Go Programming Language,Alan A. A. Donovan,"Donovan, Alan A. A.",Brian W. Kernighan,"=""0134190440""","=""9780134190440""",5,4.46,Addison-Wesley,Paperback,380,2015,2015,2018/01/10,2017/10/19,,,read,,,,1,,,0,,,,,
92308,The Importance of Being Earnest and Other Plays,Oscar Wilde,"Wilde, Oscar",Richard Allen Cave,"=""0140436065""","=""9780140436068""",5,4.25,Penguin Classics,Paperback,462,2000,1898,2018/01/10,2017/10/14,,,read,,,,1,,,0,,,,,
13409279,50.000 Dolar,Ernest Hemingway,"Hemingway, Ernest","Türköz Taga, Mustafa Yurdakul","=""""","=""""",3,3.52,Varlık Yayınları,Paperback,156,1977,1927,2018/01/09,2018/01/09,,,read,,,,1,,,0,,,,,
10884,Einstein: His Life and Universe,Walter Isaacson,"Isaacson, Walter",,"=""0743264738""","=""9780743264730""",5,4.11,Simon  Schuster,Hardcover,675,2007,2007,2018/01/07,2017/09/11,,,read,,,,1,,,0,,,,,
29760851,Romance de la mort,Jean Bruce,"Bruce, Jean",,"=""""","=""""",4,3.50,Presses de la cité,Paperback,,1973,,2018/01/06,2017/12/31,,,read,,,,1,,,0,,,,,
